sample	gene_family	orf_name	orf_length
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_170	57
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_205	57
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_221	57
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_220	57
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_179	57
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_205	57
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_34	59
Human 1	DAZ	longer_from_REPLICATE1_transcript_128_support_3_26	59
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_32	59
Human 1	DAZ	longer_from_REPLICATE2_transcript_187_support_5_31	59
Human 1	DAZ	longer_from_REPLICATE2_transcript_189_support_6_21	59
Human 1	DAZ	longer_from_REPLICATE2_transcript_52_support_3_25	59
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_35	59
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_35	59
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_29	60
Human 1	DAZ	longer_from_REPLICATE1_transcript_128_support_3_21	60
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_27	60
Human 1	DAZ	longer_from_REPLICATE2_transcript_187_support_5_26	60
Human 1	DAZ	longer_from_REPLICATE2_transcript_189_support_6_16	60
Human 1	DAZ	longer_from_REPLICATE2_transcript_52_support_3_20	60
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_30	60
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_30	60
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_2	61
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_2	61
Human 1	DAZ	longer_from_REPLICATE1_transcript_157_support_3_59	64
Human 1	DAZ	longer_from_REPLICATE1_transcript_159_support_2_53	64
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_79	64
Human 1	DAZ	longer_from_REPLICATE1_transcript_216_support_3_57	64
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_87	64
Human 1	DAZ	longer_from_REPLICATE1_transcript_5_support_2_56	64
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_87	64
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_70	64
Human 1	DAZ	longer_from_REPLICATE2_transcript_635_support_8_53	64
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_79	64
Human 1	DAZ	longer_from_REPLICATE1_transcript_159_support_2_73	65
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_99	65
Human 1	DAZ	longer_from_REPLICATE1_transcript_216_support_3_77	65
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_107	65
Human 1	DAZ	longer_from_REPLICATE2_transcript_635_support_8_73	65
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_99	65
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_94	66
Human 1	DAZ	longer_from_REPLICATE1_transcript_128_support_3_86	66
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_92	66
Human 1	DAZ	longer_from_REPLICATE2_transcript_187_support_5_91	66
Human 1	DAZ	longer_from_REPLICATE2_transcript_189_support_6_81	66
Human 1	DAZ	longer_from_REPLICATE2_transcript_52_support_3_85	66
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_95	66
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_95	66
Human 1	DAZ	longer_from_REPLICATE1_transcript_157_support_3_136	67
Human 1	DAZ	longer_from_REPLICATE1_transcript_157_support_3_80	67
Human 1	DAZ	longer_from_REPLICATE1_transcript_159_support_2_129	67
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_155	67
Human 1	DAZ	longer_from_REPLICATE1_transcript_216_support_3_133	67
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_108	67
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_164	67
Human 1	DAZ	longer_from_REPLICATE1_transcript_5_support_2_133	67
Human 1	DAZ	longer_from_REPLICATE1_transcript_5_support_2_77	67
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_163	67
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_147	67
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_91	67
Human 1	DAZ	longer_from_REPLICATE2_transcript_635_support_8_129	67
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_155	67
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_19	69
Human 1	DAZ	longer_from_REPLICATE2_transcript_189_support_6_4	69
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_19	69
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_3	70
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_3	70
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_144	71
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_4	71
Human 1	DAZ	longer_from_REPLICATE1_transcript_128_support_3_136	71
Human 1	DAZ	longer_from_REPLICATE1_transcript_157_support_3_1	71
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_21	71
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_31	71
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_142	71
Human 1	DAZ	longer_from_REPLICATE2_transcript_187_support_5_141	71
Human 1	DAZ	longer_from_REPLICATE2_transcript_189_support_6_131	71
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_31	71
Human 1	DAZ	longer_from_REPLICATE2_transcript_52_support_3_135	71
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_21	71
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_145	71
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_145	71
Human 1	DAZ	longer_from_REPLICATE1_transcript_157_support_3_49	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_157_support_3_92	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_159_support_2_43	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_159_support_2_85	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_111	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_69	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_216_support_3_47	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_216_support_3_89	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_120	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_77	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_5_support_2_46	72
Human 1	DAZ	longer_from_REPLICATE1_transcript_5_support_2_89	72
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_119	72
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_77	72
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_103	72
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_60	72
Human 1	DAZ	longer_from_REPLICATE2_transcript_635_support_8_43	72
Human 1	DAZ	longer_from_REPLICATE2_transcript_635_support_8_85	72
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_111	72
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_69	72
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_174	79
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_174	79
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_202	80
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_201	80
Human 1	DAZ	REPLICATE1_transcript_2_support_5REPLICATE2_transcript_8_support_3_11	82
Human 1	DAZ	longer_from_REPLICATE1_transcript_159_support_2_2	84
Human 1	DAZ	longer_from_REPLICATE1_transcript_159_support_2_3	89
Human 1	DAZ	longer_from_REPLICATE1_transcript_157_support_3_33	93
Human 1	DAZ	longer_from_REPLICATE1_transcript_159_support_2_27	93
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_53	93
Human 1	DAZ	longer_from_REPLICATE1_transcript_216_support_3_31	93
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_61	93
Human 1	DAZ	longer_from_REPLICATE1_transcript_5_support_2_30	93
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_61	93
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_44	93
Human 1	DAZ	longer_from_REPLICATE2_transcript_635_support_8_27	93
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_53	93
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_33	96
Human 1	DAZ	longer_from_REPLICATE1_transcript_128_support_3_25	96
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_31	96
Human 1	DAZ	longer_from_REPLICATE2_transcript_187_support_5_30	96
Human 1	DAZ	longer_from_REPLICATE2_transcript_189_support_6_20	96
Human 1	DAZ	longer_from_REPLICATE2_transcript_52_support_3_24	96
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_34	96
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_34	96
Human 1	DAZ	longer_from_REPLICATE1_transcript_157_support_3_11	102
Human 1	DAZ	longer_from_REPLICATE1_transcript_159_support_2_5	102
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_31	102
Human 1	DAZ	longer_from_REPLICATE1_transcript_216_support_3_9	102
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_39	102
Human 1	DAZ	longer_from_REPLICATE1_transcript_5_support_2_8	102
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_39	102
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_31	102
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_15	104
Human 1	DAZ	longer_from_REPLICATE1_transcript_128_support_3_7	104
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_13	104
Human 1	DAZ	longer_from_REPLICATE2_transcript_187_support_5_12	104
Human 1	DAZ	longer_from_REPLICATE2_transcript_52_support_3_6	104
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_16	104
